INDEX,LON,LAT,SEED
0,0,-90,1614945
1,0,-90,19722213
2,0,-90,52309745
3,0,-90,4670372
4,180,-90,73772218
5,180,-90,96679894
6,180,-90,8348951
7,180,-90,66819537
8,360,-90,87152567
9,360,-90,33156925
10,360,-90,392581
11,360,-90,74268419
12,0,-30,65653660
13,0,-30,14965401
14,0,-30,8115679
15,0,-30,89177295
16,180,-30,67934696
17,180,-30,66413072
18,180,-30,63336581
19,180,-30,26309647
20,360,-30,17892493
21,360,-30,26281744
22,360,-30,40328146
23,360,-30,58613941
24,0,30,52641304
25,0,30,4597944
26,0,30,98004475
27,0,30,48308094
28,180,30,6173204
29,180,30,71003543
30,180,30,87318201
31,180,30,56944010
32,360,30,49091281
33,360,30,37746617
34,360,30,32384613
35,360,30,41302194
36,0,90,17502654
37,0,90,182636
38,0,90,43570080
39,0,90,3103413
40,180,90,9830021
41,180,90,93557299
42,180,90,69632260
43,180,90,23710002
44,360,90,79451705
45,360,90,71319285
46,360,90,31225076
47,360,90,69386295
